Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Aero.Commander S2R,General,VMC,Maneuvering,Substantial,24
Piper PA-12,General,VMC,Maneuvering,Substantial,24
Cessna R172K,General,VMC,Landing,Substantial,24
Cessna 177RG,General,VMC,Takeoff,Substantial,24
Cessna 195,Human Error,VMC,Unknown,Substantial,24
Schweizer 269C,General,VMC,Landing,Substantial,24
Cessna 170,General,VMC,Takeoff,Substantial,24
Piper PA28,Unknown,UNK,Unknown,Substantial,24
Bell 47G-2,General,VMC,Maneuvering,Substantial,24
Cessna 188B,General,VMC,Takeoff,Substantial,24
Piper PA-30,General,VMC,Takeoff,Substantial,24
Cessna 140,General,VMC,Cruise,Substantial,24
Cessna 172S,General,VMC,Takeoff,Substantial,24
Cessna 182A,Human Error,VMC,Unknown,Substantial,24
Cessna 182J,General,VMC,Landing,Substantial,24
Bellanca 7KCAB,General,VMC,Landing,Substantial,24
Cessna 170A,Human Error,VMC,Unknown,Substantial,24
Cessna 177B,Human Error,VMC,Unknown,Substantial,24
Cessna 150H,General,VMC,Approach,Substantial,24
Cessna 150M,General,VMC,Maneuvering,Destroyed,24
Cessna 172G,General,VMC,Cruise,Substantial,24
Cessna 175,General,VMC,Landing,Substantial,23
Cessna 172,Unknown,UNK,Unknown,Destroyed,23
Bell 206,Unknown,UNK,Unknown,Destroyed,23
Cessna 150J,General,VMC,Landing,Substantial,23
Piper PA-34-220T,General,VMC,Landing,Substantial,23
Bell 206L-1,General,VMC,Cruise,Substantial,23
Stinson 108-2,General,VMC,Takeoff,Substantial,23
Cessna 150M,General,VMC,Descent,Substantial,23
Piper PA-32-260,General,VMC,Cruise,Substantial,23
Cessna 150,Unknown,UNK,Unknown,Substantial,23
Cessna 172RG,General,VMC,Takeoff,Substantial,23
Cessna 182B,General,VMC,Landing,Substantial,23
Cessna 150F,General,VMC,Approach,Substantial,23
Cessna 150G,Human Error,VMC,Unknown,Substantial,23
Cessna 180,General,VMC,Cruise,Substantial,23
Mooney M20C,General,VMC,Landing,Substantial,23
Cessna T210L,Human Error,VMC,Unknown,Substantial,23
Piper PA-25-235,Human Error,VMC,Unknown,Substantial,23
Cessna 177B,General,VMC,Cruise,Substantial,23
Piper PA24,Human Error,VMC,Unknown,Substantial,23
Piper PA32,Human Error,VMC,Unknown,Substantial,23
Cessna P210N,General,VMC,Cruise,Substantial,23
Cessna 172,General,VMC,Maneuvering,Destroyed,23
Cessna 188,General,VMC,Takeoff,Substantial,23
Bellanca 7GCBC,General,VMC,Maneuvering,Substantial,23
Cessna T210M,General,VMC,Landing,Substantial,23
Cessna 185F,General,VMC,Takeoff,Substantial,22
Cessna 150K,General,VMC,Cruise,Substantial,22
Cessna T210L,General,VMC,Landing,Substantial,22
Mooney M20E,General,VMC,Landing,Substantial,22
Piper PA-25-235,General,VMC,Cruise,Substantial,22
Piper PA-44-180,General,VMC,Landing,Substantial,22
Cessna T188C,General,VMC,Takeoff,Substantial,22
Cessna 172F,General,VMC,Landing,Substantial,22
Air.Tractor AT-401,General,VMC,Maneuvering,Substantial,22
Piper PA-31-350,General,VMC,Cruise,Substantial,22
Cessna 421B,General,VMC,Landing,Substantial,22
Cessna 421C,General,VMC,Landing,Substantial,22
Piper PA-28-161,General,VMC,Taxi,Substantial,22
Cessna 182R,General,VMC,Landing,Substantial,22
Mooney M20E,General,VMC,Cruise,Substantial,22
Cessna 210L,General,VMC,Approach,Substantial,22
Cessna 177RG,Human Error,VMC,Unknown,Substantial,22
Beech F33A,General,VMC,Landing,Substantial,22
Boeing 767,Unknown,UNK,Unknown,Unknown,22
Cessna 172M,General,VMC,Cruise,Destroyed,22
Cessna TU206G,General,VMC,Landing,Substantial,22
Piper PA-28-140,General,VMC,Maneuvering,Destroyed,22
Cessna 177,General,VMC,Approach,Substantial,22
Beech V35B,General,VMC,Landing,Substantial,22
Piper PA46,Human Error,VMC,Unknown,Substantial,22
Piper J3C-65,General,VMC,Cruise,Substantial,22
Bell 407,Human Error,VMC,Unknown,Substantial,22
Cessna 182M,General,VMC,Landing,Substantial,22
Cessna 172K,General,VMC,Takeoff,Substantial,22
Piper PA-28-235,General,VMC,Takeoff,Substantial,22
Hiller UH-12E,General,VMC,Cruise,Substantial,22
Boeing 747,Unknown,UNK,Unknown,Unknown,22
Cessna 182N,General,VMC,Landing,Substantial,22
Cessna 182A,General,VMC,Cruise,Substantial,22
Piper PA 28-140,Human Error,VMC,Unknown,Substantial,21
Cessna 182K,General,VMC,Landing,Substantial,21
Cessna 182T,Human Error,VMC,Unknown,Substantial,21
Piper J3C-65,General,VMC,Maneuvering,Substantial,21
Piper PA 28-180,Human Error,VMC,Unknown,Substantial,21
Cessna 175,Human Error,VMC,Unknown,Substantial,21
Cessna P210N,General,VMC,Landing,Substantial,21
Grumman G-164A,General,VMC,Cruise,Substantial,21
Aviat A-1B,General,VMC,Landing,Substantial,21
Piper PA-28-140,General,VMC,Go_around,Substantial,21
Lake LA-4-200,General,VMC,Takeoff,Substantial,21
Cessna 182,Unknown,VMC,Unknown,Substantial,21
Piper PA-32-300,General,VMC,Approach,Substantial,21
Cessna 150,General,VMC,Go_around,Substantial,21
Air.Tractor AT-301,General,VMC,Maneuvering,Destroyed,21
Cessna T182T,Human Error,VMC,Unknown,Substantial,21
Bell 47G-3B-1,General,VMC,Maneuvering,Substantial,21
Cessna 172M,General,VMC,Taxi,Substantial,21
Piper J3C,Human Error,VMC,Unknown,Substantial,21
Piper PA-38-112,General,VMC,Go_around,Substantial,21
Piper PA-28-161,General,VMC,Takeoff,Destroyed,21
Piper PA-23-250,General,VMC,Takeoff,Substantial,21
Cessna T210L,General,VMC,Approach,Substantial,21
Piper PA-38-112,General,VMC,Takeoff,Destroyed,21
Piper PA-18,General,VMC,Taxi,Substantial,21
Aeronca 11AC,Human Error,VMC,Unknown,Substantial,21
Piper PA-28-180,General,VMC,Takeoff,Destroyed,21
Piper PA-23-250,General,VMC,Unknown,Substantial,21
Robinson R-22B,General,VMC,Maneuvering,Substantial,21
Boeing A75N1(PT17),Human Error,VMC,Unknown,Substantial,21
Beech A36,General,VMC,Cruise,Destroyed,20
Aeronca 11AC,General,VMC,Landing,Substantial,20
Piper PA-32R-300,General,VMC,Takeoff,Substantial,20
Cessna 172,Mechanical Failure,VMC,Unknown,Substantial,20
Cessna 182,Unknown,UNK,Unknown,Destroyed,20
Bellanca 8KCAB,General,VMC,Landing,Substantial,20
Airbus A330,Unknown,UNK,Unknown,Unknown,20
Beech 23,General,VMC,Landing,Substantial,20
Cessna 150K,General,VMC,Landing,Substantial,20
Aviat.Aircraft.Inc A-1B,Human Error,VMC,Unknown,Substantial,20
Robinson R22 Beta,General,VMC,Maneuvering,Substantial,20
Piper PA-22,General,VMC,Cruise,Substantial,20
Piper PA-18-150,General,VMC,Approach,Substantial,20
Cessna 172G,General,VMC,Landing,Substantial,20
Mooney M20F,General,VMC,Takeoff,Substantial,20
Cessna 150,Unknown,VMC,Unknown,Substantial,20
Mooney M20K,General,VMC,Landing,Substantial,20
Piper PA-28-161,General,VMC,Cruise,Destroyed,20
Boeing 757,Unknown,UNK,Unknown,Unknown,20
Cessna 180H,Human Error,VMC,Unknown,Substantial,20
Beech V35B,General,VMC,Cruise,Substantial,20
Cessna 207,General,VMC,Landing,Substantial,20
Mooney M20E,Human Error,VMC,Unknown,Substantial,20
Robinson R22 Beta,General,VMC,Landing,Substantial,20
Cessna 195A,General,VMC,Landing,Substantial,20
Mooney M20E,General,VMC,Takeoff,Substantial,20
Bellanca 7GCBC,General,VMC,Takeoff,Substantial,20
Cessna 150L,General,VMC,Go_around,Substantial,20
Mooney M20C,General,VMC,Takeoff,Substantial,20
Air.Tractor AT-502,General,VMC,Takeoff,Substantial,20
Cessna 172,General,VMC,Cruise,Destroyed,20
Champion 7ECA,General,VMC,Takeoff,Substantial,20
Cessna 172P,General,VMC,Go_around,Substantial,20
Bell 47G,Human Error,VMC,Unknown,Substantial,19
Piper PA-28-140,General,VMC,Descent,Substantial,19
Cessna 152,General,IMC,Cruise,Destroyed,19
Air.Tractor.Inc AT-502B,Human Error,VMC,Unknown,Substantial,19
